DT,Influent
12/8/2022 1:10,5.657
12/8/2022 1:10,5.7561
12/8/2022 1:10,5.8049
12/8/2022 1:10,5.6317
12/8/2022 1:10,5.7462
12/8/2022 1:11,5.7772
12/8/2022 1:11,5.7226
12/8/2022 1:11,5.579
12/8/2022 1:11,5.6582
12/8/2022 1:11,5.7088
12/8/2022 1:11,5.7697
12/8/2022 1:12,5.64
12/8/2022 1:12,5.676
12/8/2022 1:12,5.6502
12/8/2022 1:12,5.6012
12/8/2022 1:12,5.5948
12/8/2022 1:12,5.4612
12/8/2022 1:13,5.5824
12/8/2022 1:13,5.6579
12/8/2022 1:13,5.4961
12/8/2022 1:13,5.5621
12/8/2022 1:13,5.5075
12/8/2022 1:13,5.4832
12/8/2022 1:14,5.5298
12/8/2022 1:14,5.6739
12/8/2022 1:14,5.5644
12/8/2022 1:14,5.5473
12/8/2022 1:14,5.5685
12/8/2022 1:14,5.4994
12/8/2022 1:15,5.5986
12/8/2022 1:15,5.5987
12/8/2022 1:15,5.5151
12/8/2022 1:15,5.6342
12/8/2022 1:15,5.7233
12/8/2022 1:15,5.7751
12/8/2022 1:16,5.6308
12/8/2022 1:16,5.4371
12/8/2022 1:16,5.5426
12/8/2022 1:16,5.3492
12/8/2022 1:16,5.3805
12/8/2022 1:16,5.4831
12/8/2022 1:17,5.4949
12/8/2022 1:17,5.3928
12/8/2022 1:17,5.3499
12/8/2022 1:17,5.3456
12/8/2022 1:17,5.45
12/8/2022 1:17,5.528
12/8/2022 1:18,5.4702
12/8/2022 1:18,5.5181
12/8/2022 1:18,5.5071
12/8/2022 1:18,5.5357
12/8/2022 1:18,5.5377
12/8/2022 1:18,5.519
12/8/2022 1:19,5.4019
12/8/2022 1:19,5.414
12/8/2022 1:19,5.4338
12/8/2022 1:19,5.5683
12/8/2022 1:19,5.4865
12/8/2022 1:19,5.5051
12/8/2022 1:20,5.5597
12/8/2022 1:20,5.5146
12/8/2022 1:20,5.5282
12/8/2022 1:20,5.5656
12/8/2022 1:20,5.4811
12/8/2022 1:20,5.6229
12/8/2022 1:21,5.6509
12/8/2022 1:21,5.6201
12/8/2022 1:21,5.5835
12/8/2022 1:21,5.6468
12/8/2022 1:21,5.5581
12/8/2022 1:21,5.4908
12/8/2022 1:22,5.4035
12/8/2022 1:22,5.5033
12/8/2022 1:22,5.4311
12/8/2022 1:22,5.4566
12/8/2022 1:22,5.4664
12/8/2022 1:22,5.6315
12/8/2022 1:23,5.666
12/8/2022 1:23,5.4514
12/8/2022 1:23,5.4993
12/8/2022 1:23,5.363
12/8/2022 1:23,5.4775
12/8/2022 1:23,5.5074
12/8/2022 1:24,5.4673
12/8/2022 1:24,5.4114
12/8/2022 1:24,5.5309
12/8/2022 1:24,5.4948
12/8/2022 1:24,5.5856
12/8/2022 1:24,5.516
12/8/2022 1:25,5.5274
12/8/2022 1:25,5.5448
12/8/2022 1:25,5.552
12/8/2022 1:25,5.5078
12/8/2022 1:25,5.5108
12/8/2022 1:25,5.5302
12/8/2022 1:26,5.4792
12/8/2022 1:26,5.3254
12/8/2022 1:26,5.3419
